customer_id,customer_name,email,signup_date,last_login_date,region,subscription_plan,monthly_spend,support_tickets,feedback_text,churned
CUST1001,Aarav,user1@example.com,2025-10-17,2027-11-14,North,Premium,446.63,2,Great service,1
CUST1002,Sneha,user2@example.com,2023-04-22,2024-09-20,West,Premium,303.0,17,Excellent!,0
CUST1003,John,user3@example.com,2023-07-24,2025-10-29,South,Premium,435.3,5,No Feedback,1
CUST1004,John,user4@example.com,2023-11-21,2024-03-04,Unknown,Basic,50.91,3,No Feedback,1
CUST1005,Fatima,user5@example.com,2024-07-29,2026-01-29,Central,Premium,66.79,12,No Feedback,0
CUST1006,Priya,user6@example.com,2022-05-23,2022-07-08,West,Enterprise,332.33,9,App crashes sometimes,0
CUST1007,Sneha,user7@example.com,2024-07-17,2026-04-28,Unknown,Enterprise,417.88,5,No Feedback,1
CUST1008,Rahul,user8@example.com,2025-10-31,2027-08-25,West,Basic,40.34,20,App crashes sometimes,0
CUST1009,Sneha,user9@example.com,2023-07-07,2025-04-22,Unknown,Basic,345.64,7,Great service,1
CUST1010,Unknown,user10@example.com,2023-10-09,2024-11-22,West,Unknown,137.53,6,App crashes sometimes,1
CUST1011,Unknown,user11@example.com,2024-07-28,2024-12-21,East,Premium,136.12,7,Excellent!,1
CUST1012,Rahul,user12@example.com,2022-10-11,2024-03-15,Unknown,Unknown,249.29,1,Need more features,0
CUST1013,Aarav,user13@example.com,2024-05-14,2026-01-14,Unknown,Unknown,36.45,12,No Feedback,1
CUST1014,John,user14@example.com,2022-08-23,2024-07-21,West,Premium,442.97,8,Slow response from support,1
CUST1015,John,user15@example.com,2024-07-18,2024-07-21,Unknown,Unknown,477.14,8,Slow response from support,0
CUST1016,Fatima,user16@example.com,2024-11-05,2026-07-21,West,Basic,103.46,11,Great service,0
CUST1017,Sneha,user17@example.com,2022-08-18,2023-08-24,Central,Basic,439.97,9,Great service,0
CUST1018,Unknown,user18@example.com,2022-06-25,2024-07-13,Central,Premium,245.57,2,Need more features,0
CUST1019,John,user19@example.com,2023-06-27,2024-12-18,West,Unknown,436.85,13,App crashes sometimes,0
CUST1020,Sneha,user20@example.com,2025-08-23,2026-09-09,South,Basic,221.86,16,Slow response from support,1
CUST1021,Priya,user21@example.com,2023-11-24,2023-12-15,Unknown,Unknown,296.21,7,Great service,0
CUST1022,Sneha,user22@example.com,2022-05-01,2022-12-21,East,Unknown,38.36,1,Slow response from support,1
CUST1023,Unknown,user23@example.com,2024-09-21,2025-04-28,Unknown,Basic,271.92,18,App crashes sometimes,1
CUST1024,Unknown,user24@example.com,2023-01-25,2023-05-01,West,Unknown,52.98,13,Excellent!,1
CUST1025,Unknown,user25@example.com,2022-04-21,2024-03-10,Unknown,Enterprise,328.46,20,Great service,0
CUST1026,Unknown,user26@example.com,2022-08-12,2023-04-23,South,Enterprise,99.84,17,Need more features,1
CUST1027,Aarav,user27@example.com,2024-08-05,2025-04-17,Unknown,Premium,437.87,2,Slow response from support,1
CUST1028,Unknown,user28@example.com,2022-01-31,2022-05-06,West,Premium,463.55,7,Excellent!,0
CUST1029,Unknown,,2024-04-01,2024-05-31,East,Basic,86.5,0,No Feedback,1
CUST1030,Sneha,user30@example.com,2025-02-12,2026-12-21,North,Premium,360.61,4,No Feedback,0
CUST1031,Rahul,user31@example.com,2025-01-15,2025-03-18,North,Premium,375.25,1,very good,0
CUST1032,Unknown,user32@example.com,2022-06-14,2024-11-01,North,Premium,96.98,19,App crashes sometimes,0
CUST1033,Fatima,user33@example.com,2023-05-20,2025-01-01,East,Premium,299.29,19,Excellent!,0
CUST1034,John,user34@example.com,2025-10-03,2027-10-06,West,Enterprise,160.52,8,Need more features,1
CUST1035,Sneha,user35@example.com,2022-05-29,2022-06-07,Central,Enterprise,231.85,18,Slow response from support,0
CUST1036,Rahul,user36@example.com,2022-09-29,2023-09-21,West,Unknown,441.03,7,No Feedback,1
CUST1037,Priya,user37@example.com,2025-01-17,2027-01-07,South,Enterprise,154.75,20,No Feedback,0
CUST1038,Sneha,user38@example.com,2022-08-25,2022-12-12,Unknown,Enterprise,372.5,4,No Feedback,1
CUST1039,Aarav,user39@example.com,2023-02-21,2025-01-24,North,Unknown,318.95,8,No Feedback,1
CUST1040,John,user40@example.com,2024-05-17,2026-09-13,South,Unknown,141.96,0,Need more features,1
CUST1041,Priya,user41example.com,2024-06-23,2026-01-08,Unknown,Premium,354.31,17,Slow response from support,0
CUST1042,Rahul,user42@example.com,2025-01-22,2025-02-27,North,Enterprise,418.12,18,Excellent!,0
CUST1044,Rahul,user44@example.com,2023-12-26,2026-03-03,Unknown,Unknown,282.14,13,App crashes sometimes,0
CUST1045,John,user45@example.com,2022-12-29,2024-02-24,South,Unknown,17.27,10,App crashes sometimes,1
CUST1046,Unknown,user46@example.com,2022-08-10,2023-09-05,East,Enterprise,436.72,15,App crashes sometimes,0
CUST1047,John,user47@example.com,2023-04-12,2023-11-26,Unknown,Basic,16.71,6,No Feedback,1
CUST1048,Priya,user48@example.com,2023-07-26,2024-07-19,East,Premium,322.53,12,Great service,1
CUST1049,Fatima,user49@example.com,2025-04-04,2025-12-31,West,Premium,23.94,19,No Feedback,1
CUST1050,Aarav,user50@example.com,2024-11-13,2025-03-11,Unknown,Basic,195.67,18,No Feedback,0
CUST1051,Unknown,user51@example.com,2022-01-04,2023-06-20,North,Unknown,463.16,17,No Feedback,0
CUST1052,Unknown,user52@example.com,2023-11-08,2025-08-07,East,Basic,160.39,3,No Feedback,1
CUST1053,John,user53@example.com,2023-08-29,2025-03-18,West,Premium,68.01,13,Need more features,1
CUST1054,Unknown,user54@example.com,2022-01-01,2022-11-08,West,Unknown,147.02,13,very good,1
CUST1055,Fatima,user55@example.com,2023-03-14,2024-08-18,North,Unknown,239.23,5,No Feedback,0
CUST1056,Aarav,user56@example.com,2023-04-27,2025-03-15,South,Basic,158.66,6,Great service,0
CUST1057,Unknown,user57@example.com,2025-06-05,2027-10-23,West,Basic,385.4,14,App crashes sometimes,1
CUST1058,Sneha,,2023-05-15,2023-10-13,South,Unknown,329.75,0,Excellent!,0
CUST1059,Rahul,user59@example.com,2024-11-26,2026-03-16,Unknown,Basic,29.86,7,very good,0
CUST1060,Unknown,user60@example.com,2025-09-29,2027-03-26,Unknown,Premium,494.01,19,very good,1
CUST1061,Sneha,user61@example.com,2024-07-02,2024-12-11,Unknown,Unknown,373.11,15,No Feedback,1
CUST1062,Unknown,user62@example.com,2023-07-22,2025-09-13,North,Unknown,389.95,15,No Feedback,0
CUST1063,Rahul,user63@example.com,2023-08-09,2024-04-05,South,Basic,139.5,10,Need more features,0
CUST1064,Unknown,user64@example.com,2022-11-09,2024-11-01,West,Basic,110.91,13,No Feedback,1
CUST1065,Unknown,user65@example.com,2023-02-28,2025-06-29,North,Enterprise,212.97,18,Excellent!,0
CUST1066,Sneha,user66@example.com,2023-09-04,2025-10-14,East,Basic,198.04,13,very good,0
CUST1067,Rahul,user67@example.com,2024-09-21,2024-10-20,Central,Premium,197.48,12,very good,0
CUST1068,Rahul,user68@example.com,2022-02-25,2023-04-04,Unknown,Basic,297.99,0,Excellent!,0
CUST1069,Fatima,user69@example.com,2023-01-08,2023-02-28,East,Unknown,133.78,10,very good,0
CUST1070,Unknown,user70@example.com,2024-02-16,2024-11-26,North,Unknown,377.24,13,Slow response from support,1
CUST1071,Aarav,user71@example.com,2025-01-09,2025-03-03,Unknown,Basic,499.95,11,Slow response from support,0
CUST1072,Rahul,user72@example.com,2023-05-22,2023-12-12,West,Unknown,420.42,19,App crashes sometimes,0
CUST1073,Rahul,user73@example.com,2022-08-23,2024-03-22,Central,Premium,474.14,14,No Feedback,1
