customer_id,customer_name,email,signup_date,last_login_date,region,subscription_plan,monthly_spend,support_tickets,feedback_text,churned
 CUST1000 ,Rahul,,02-08-2025,24-11-2025,,Basic,-17.38,8,App crashes sometimes,0
CUST1001,Aarav,user1@example.com,17-10-2025,14-11-2027,North,Premium,446.63,2,Great service,1
CUST1002,Sneha,user2@example.com,22-04-2023,20-09-2024,West,PREMIUM,303,17,Excellent!,0
CUST1003,John,user3@example.com,24-07-2023,29-10-2025,South,Premium,435.3,5,,1
CUST1004,John,user4@example.com,21-11-2023,04-03-2024,,Basic,50.91,3,,1
CUST1005,Fatima,user5@example.com,29-07-2024,29-01-2026,Central,Premium,66.79,12,,0
CUST1006,Priya,user6@example.com,23-05-2022,08-07-2022,West,Enterprise,332.33,9,App crashes sometimes,0
CUST1007,Sneha,user7@example.com,17-07-2024,28-04-2026,,Enterprise,417.88,5,,1
CUST1008,Rahul,user8@example.com,31-10-2025,25-08-2027,West,basic,40.34,20,App crashes sometimes,0
CUST1009,Sneha,user9@example.com,07-07-2023,22-04-2025,,Basic,345.64,7,Great service,1
CUST1010,,user10@example.com,09-10-2023,22-11-2024,West,,137.53,6,App crashes sometimes,1
CUST1011,,user11@example.com,28-07-2024,21-12-2024,East,Premium,136.12,7,Excellent!,1
CUST1012,Rahul,user12@example.com,11-10-2022,15-03-2024,,,249.29,1,Need more features,0
CUST1013,Aarav,user13@example.com,14-05-2024,14-01-2026,,,36.45,12,,1
CUST1014,John,user14@example.com,23-08-2022,21-07-2024,West,Premium,442.97,8,Slow response from support,1
CUST1015,John,user15@example.com,18-07-2024,21-07-2024,,,477.14,8,Slow response from support,0
CUST1016,Fatima,user16@example.com,05-11-2024,21-07-2026,West,Basic,103.46,11,Great service,0
CUST1017,Sneha,user17@example.com,18-08-2022,24-08-2023,Central,Basic,439.97,9,Great service,0
CUST1018,,user18@example.com,25-06-2022,13-07-2024,Central,Premium,245.57,2,Need more features,0
CUST1019,John,user19@example.com,27-06-2023,18-12-2024,West,,436.85,13,App crashes sometimes,0
CUST1020,Sneha,user20@example.com,23-08-2025,09-09-2026,South,Basic,221.86,16,Slow response from support,1
CUST1021,Priya,user21@example.com,24-11-2023,15-12-2023,,,296.21,7,Great service,0
CUST1022,Sneha,user22@example.com,01-05-2022,21-12-2022,East,,38.36,1,Slow response from support,1
CUST1023,,user23@example.com,21-09-2024,28-04-2025,,basic,271.92,18,App crashes sometimes,1
CUST1024,,user24@example.com,25-01-2023,01-05-2023,West,,52.98,13,Excellent!,1
CUST1025,,user25@example.com,21-04-2022,10-03-2024,,Enterprise,328.46,20,Great service,0
CUST1026,,user26@example.com,12-08-2022,23-04-2023,South,Enterprise,99.84,17,Need more features,1
CUST1027,Aarav,user27@example.com,05-08-2024,17-04-2025,,PREMIUM,437.87,2,Slow response from support,1
CUST1028,,user28@example.com,31-01-2022,06-05-2022,West,Premium,463.55,7,Excellent!,0
CUST1029,,,01-04-2024,31-05-2024,East,basic,86.5,0,,1
CUST1030,Sneha,user30@example.com,12-02-2025,21-12-2026,North,PREMIUM,360.61,4,,0
CUST1031,Rahul,user31@example.com,15-01-2025,18-03-2025,North,PREMIUM,375.25,1,very good,0
CUST1032,,user32@example.com,14-06-2022,01-11-2024,North,PREMIUM,96.98,19,App crashes sometimes,0
CUST1033,Fatima,user33@example.com,20-05-2023,01-01-2025,East,Premium,299.29,19,Excellent!,0
CUST1034,John,user34@example.com,03-10-2025,06-10-2027,West,Enterprise,160.52,8,Need more features,1
CUST1035,Sneha,user35@example.com,29-05-2022,07-06-2022,Central,Enterprise,231.85,18,Slow response from support,0
CUST1036,Rahul,user36@example.com,29-09-2022,21-09-2023,West,,441.03,7,,1
 CUST1037 ,Priya,user37@example.com,17-01-2025,07-01-2027,South,Enterprise,154.75,20,,0
CUST1038,Sneha,user38@example.com,25-08-2022,12-12-2022,,Enterprise,372.5,4,,1
CUST1039,Aarav,user39@example.com,21-02-2023,24-01-2025,North,,318.95,8,,1
CUST1040,John,user40@example.com,17-05-2024,13-09-2026,South,,141.96,0,Need more features,1
CUST1041,Priya,user41example.com,23-06-2024,08-01-2026,,Premium,354.31,17,Slow response from support,0
CUST1042,Rahul,user42@example.com,22-01-2025,27-02-2025,North,Enterprise,418.12,18,Excellent!,0
CUST1043,Sneha,user43@example.com,17-01-2024,11-04-2026,,Basic,-486.24,1,App crashes sometimes,1
CUST1044,Rahul,user44@example.com,26-12-2023,03-03-2026,,,282.14,13,App crashes sometimes,0
CUST1045,John,user45@example.com,29-12-2022,24-02-2024,South,,17.27,10,App crashes sometimes,1
CUST1046,,user46@example.com,10-08-2022,05-09-2023,East,Enterprise,436.72,15,App crashes sometimes,0
CUST1047,John,user47@example.com,12-04-2023,26-11-2023,,Basic,16.71,6,,1
CUST1048,Priya,user48@example.com,26-07-2023,19-07-2024,East,Premium,322.53,12,Great service,1
CUST1049,Fatima,user49@example.com,04-04-2025,31-12-2025,West,PREMIUM,23.94,19,,1
CUST1050,Aarav,user50@example.com,13-11-2024,11-03-2025,,basic,195.67,18,,0
CUST1051,,user51@example.com,04-01-2022,20-06-2023,North,,463.16,17,,0
CUST1052,,user52@example.com,08-11-2023,07-08-2025,East,basic,160.39,3,,1
CUST1053,John,user53@example.com,29-08-2023,18-03-2025,West,PREMIUM,68.01,13,Need more features,1
CUST1054,,user54@example.com,01-01-2022,08-11-2022,West,,147.02,13,very good,1
CUST1055,Fatima,user55@example.com,14-03-2023,18-08-2024,North,,239.23,5,,0
CUST1056,Aarav,user56@example.com,27-04-2023,15-03-2025,South,basic,158.66,6,Great service,0
CUST1057,,user57@example.com,05-06-2025,23-10-2027,West,basic,385.4,14,App crashes sometimes,1
CUST1058,Sneha,,15-05-2023,13-10-2023,South,,329.75,0,Excellent!,0
CUST1059,Rahul,user59@example.com,26-11-2024,16-03-2026,,basic,29.86,7,very good,0
CUST1060,,user60@example.com,29-09-2025,26-03-2027,,PREMIUM,494.01,19,very good,1
CUST1061,Sneha,user61@example.com,02-07-2024,11-12-2024,,,373.11,15,,1
CUST1062,,user62@example.com,22-07-2023,13-09-2025,North,,389.95,15,,0
CUST1063,Rahul,user63@example.com,09-08-2023,05-04-2024,South,basic,139.5,10,Need more features,0
CUST1064,,user64@example.com,09-11-2022,01-11-2024,West,Basic,110.91,13,,1
CUST1065,,user65@example.com,28-02-2023,29-06-2025,North,Enterprise,212.97,18,Excellent!,0
CUST1066,Sneha,user66@example.com,04-09-2023,14-10-2025,East,basic,198.04,13,very good,0
CUST1067,Rahul,user67@example.com,21-09-2024,20-10-2024,Central,PREMIUM,197.48,12,very good,0
CUST1068,Rahul,user68@example.com,25-02-2022,04-04-2023,,basic,297.99,0,Excellent!,0
CUST1069,Fatima,user69@example.com,08-01-2023,28-02-2023,East,,133.78,10,very good,0
CUST1070,,user70@example.com,16-02-2024,26-11-2024,North,,377.24,13,Slow response from support,1
CUST1071,Aarav,user71@example.com,09-01-2025,03-03-2025,,Basic,499.95,11,Slow response from support,0
CUST1072,Rahul,user72@example.com,22-05-2023,12-12-2023,West,,420.42,19,App crashes sometimes,0
CUST1073,Rahul,user73@example.com,23-08-2022,22-03-2024,Central,PREMIUM,474.14,14,,1
 CUST1074 ,John,user74@example.com,23-08-2022,27-10-2024,Central,,410.55,9,Great service,0
CUST1075,Priya,user75@example.com,08-02-2024,20-03-2025,,,471.03,6,App crashes sometimes,0
CUST1076,,user76@example.com,10-09-2023,27-01-2026,,Enterprise,343.71,3,,0
CUST1077,Priya,user77@example.com,22-05-2022,22-10-2023,West,Enterprise,325.53,0,very good,1
CUST1078,John,user78@example.com,25-07-2025,20-11-2027,Central,,232.57,4,Need more features,1
CUST1079,Sneha,user79@example.com,07-01-2025,11-03-2027,,Basic,244.33,13,,1
CUST1080,Aarav,user80@example.com,26-07-2023,29-10-2024,West,,125.71,14,,1
CUST1081,John,user81@example.com,28-10-2023,01-05-2024,Central,,246.34,11,,1
CUST1082,,user82example.com,20-07-2023,08-02-2025,West,PREMIUM,10.02,6,App crashes sometimes,0
CUST1083,Priya,user83@example.com,08-05-2023,14-04-2025,East,Premium,240.67,15,Great service,1
CUST1084,Fatima,user84@example.com,08-04-2024,17-03-2026,West,,125.44,18,very good,1
CUST1085,John,user85@example.com,01-02-2025,05-01-2026,South,Basic,179.15,14,,1
CUST1086,Sneha,user86@example.com,30-01-2023,19-12-2023,,basic,-64.18,17,App crashes sometimes,0
CUST1087,Sneha,,21-07-2023,31-07-2025,East,Premium,296.85,16,Slow response from support,1
CUST1088,Aarav,user88@example.com,10-01-2024,11-07-2024,North,PREMIUM,154.62,17,,0
CUST1089,Aarav,user89@example.com,22-08-2023,05-08-2025,Central,Enterprise,472.32,20,Slow response from support,1
CUST1090,,user90@example.com,19-08-2024,22-12-2025,North,,223.03,5,,0
CUST1091,Rahul,user91@example.com,14-05-2022,28-06-2023,,PREMIUM,248.41,18,Need more features,0
